"Tipologia","Frecuencia","Household"
"T1",10371,110110030301
"T1",10371,110110030501
"T1",10371,110110031501
"T1",10371,110110031601
"T1",10371,110110040101
"T1",10371,110110040601
"T1",10371,110110041001
"T1",10371,110110090401
"T1",10371,110110090601
"T1",10371,110110100301
"T1",10371,110110110101
"T1",10371,110110120201
"T1",10371,110110120701
"T1",10371,110110130301
"T1",10371,110110130401
"T1",10371,110110130601
"T1",10371,110110140101
"T1",10371,110110150401
"T1",10371,110110170101
"T1",10371,110110170401
"T1",10371,110110180501
"T1",10371,110110190601
"T1",10371,110110190701
"T1",10371,110110191401
"T1",10371,110110200301
"T1",10371,110110201301
"T1",10371,110110202001
"T1",10371,110110210801
"T1",10371,110110230301
"T1",10371,110110240501
"T1",10371,110110251201
"T1",10371,110110251601
"T1",10371,110110271001
"T1",10371,110110271101
"T1",10371,110110280101
"T1",10371,110110290901
"T1",10371,110110300501
"T1",10371,110110330201
"T1",10371,110110330401
"T1",10371,110110331001
"T1",10371,110110331101
"T1",10371,110110350601
"T1",10371,110110360201
"T1",10371,110110360602
"T1",10371,110110370901
"T1",10371,110110380401
"T1",10371,110110470401
"T1",10371,110110480101
"T1",10371,110110480201
"T1",10371,110110480701
"T1",10371,110110490401
"T1",10371,110110490501
"T1",10371,110110490901
"T1",10371,110110501301
"T1",10371,110110510601
"T1",10371,110110510701
"T1",10371,110110520101
"T1",10371,110110530101
"T1",10371,110110530801
"T1",10371,110110540101
"T1",10371,110110540701
"T1",10371,110110550101
"T1",10371,110110550301
"T1",10371,110110550501
"T1",10371,110110561201
"T1",10371,110110570201
"T1",10371,110110620401
"T1",10371,110110630401
"T1",10371,110110630501
"T1",10371,110110640201
"T1",10371,110110650601
"T1",10371,110110660801
"T1",10371,110110690501
"T1",10371,110110691101
"T1",10371,110110700101
"T1",10371,110110720501
"T1",10371,110110720601
"T1",10371,110110721201
"T1",10371,110110730301
"T1",10371,110110740201
"T1",10371,110110740501
"T1",10371,110110740801
"T1",10371,110110790201
"T1",10371,110110810101
"T1",10371,110110810801
"T1",10371,110110820602
"T1",10371,110110890101
"T1",10371,110110900102
"T1",10371,110110900301
"T1",10371,110110930201
"T1",10371,110110950701
"T1",10371,110110970801
"T1",10371,110110971101
"T1",10371,110110980101
"T1",10371,110110980301
"T1",10371,110110980801
"T1",10371,110111021901
"T1",10371,110111030501
"T1",10371,110111031401
"T1",10371,110111031501
"T1",10371,110111031701
"T1",10371,110111040101
"T1",10371,110111041301
"T1",10371,110111051201
"T1",10371,110111051401
"T1",10371,110111060401
"T1",10371,110111060701
"T1",10371,110111100301
"T1",10371,110111111201
"T1",10371,110111120601
"T1",10371,110111140501
"T1",10371,110111160401
"T1",10371,110111161301
"T1",10371,110111161801
"T1",10371,110111180701
"T1",10371,110111181101
"T1",10371,110111190301
"T1",10371,110111201201
"T1",10371,110111210801
"T1",10371,110111210901
"T1",10371,110111211001
"T1",10371,110111211601
"T1",10371,110111220201
"T1",10371,110111230901
"T1",10371,110111240401
"T1",10371,110111240801
"T1",10371,110111240901
"T1",10371,110111241101
"T1",10371,110111270101
"T1",10371,110111270701
"T1",10371,110111290701
"T1",10371,110111300201
"T1",10371,110111310101
"T1",10371,110111310601
"T1",10371,110111330401
"T1",10371,110111330501
"T1",10371,110111330701
"T1",10371,110111340301
"T1",10371,110111350301
"T1",10371,110111350701
"T1",10371,110111360101
"T1",10371,110111360201
"T1",10371,110111370601
"T1",10371,110111370901
"T1",10371,110111371101
"T1",10371,110111371401
"T1",10371,110111380301
"T1",10371,110111390301
"T1",10371,110111390401
"T1",10371,110111390901
"T1",10371,110111391101
"T1",10371,110111400801
"T1",10371,110111410701
"T1",10371,110111430301
"T1",10371,110111440401
"T1",10371,110111440501
"T1",10371,110111440801
"T1",10371,110111450901
"T1",10371,110111451301
"T1",10371,110111460401
"T1",10371,110111460601
"T1",10371,110111490101
"T1",10371,110111490301
"T1",10371,110111510301
"T1",10371,110111511501
"T1",10371,110111511801
"T1",10371,110111512101
"T1",10371,110111521001
"T1",10371,110111521201
"T1",10371,110111521501
"T1",10371,110111521601
"T1",10371,110111540301
"T1",10371,110111540401
"T1",10371,110111541001
"T1",10371,110111541201
"T1",10371,110111551501
"T1",10371,110111570601
"T1",10371,110111571001
"T1",10371,110111590801
"T1",10371,110111600101
"T1",10371,110111610101
"T1",10371,110111620801
"T1",10371,110111620901
"T1",10371,110111621201
"T1",10371,110111621301
"T1",10371,110111630402
"T1",10371,110111630501
"T1",10371,110111640301
"T1",10371,110111640601
"T1",10371,110111650601
"T1",10371,110111650801
"T1",10371,110111660501
"T1",10371,110111660601
"T1",10371,110111661701
"T1",10371,110111661801
"T1",10371,110111670101
"T1",10371,110111671201
"T1",10371,110111671301
"T1",10371,110111681101
"T1",10371,110111700401
"T1",10371,110111730101
"T1",10371,110111730301
"T1",10371,110111730601
"T1",10371,110111740301
"T1",10371,110111750101
"T1",10371,110111780201
"T1",10371,110111790801
"T1",10371,110111800501
"T1",10371,110111810101
"T1",10371,110111810701
"T1",10371,110111811101
"T1",10371,110111811301
"T1",10371,110111811401
"T1",10371,110111820301
"T1",10371,110111821101
"T1",10371,110111821202
"T1",10371,110111860701
"T1",10371,110111860702
"T1",10371,110111890201
"T1",10371,110111921701
"T1",10371,110111930501
"T1",10371,110111931201
"T1",10371,110111950501
"T1",10371,110111950601
"T1",10371,110111950701
"T1",10371,110111970401
"T1",10371,110111981101
"T1",10371,110111981201
"T1",10371,110111990201
"T1",10371,110112010601
"T1",10371,110112030501
"T1",10371,110112030601
"T1",10371,110112030801
"T1",10371,110112040501
"T1",10371,110112050301
"T1",10371,110112050501
"T1",10371,110112080801
"T1",10371,110112090101
"T1",10371,110112110301
"T1",10371,110112130101
"T1",10371,110112130102
"T1",10371,110112150201
"T1",10371,110112160401
"T1",10371,110112160801
"T1",10371,110112161201
"T1",10371,110112161301
"T1",10371,110112190101
"T1",10371,110112201101
"T1",10371,110112210401
"T1",10371,110112230201
"T1",10371,110112230501
"T1",10371,110112240301
"T1",10371,110112260801
"T1",10371,110112261201
"T1",10371,110112270501
"T1",10371,110112270601
"T1",10371,110112280601
"T1",10371,110112290801
"T1",10371,110112300201
"T1",10371,110112300401
"T1",10371,110112310701
"T1",10371,110112330201
"T1",10371,110112340301
"T1",10371,110112350301
"T1",10371,110112370301
"T1",10371,110112410401
"T1",10371,110112420601
"T1",10371,110112430201
"T1",10371,110112491501
"T1",10371,110112491801
"T1",10371,110112500501
"T1",10371,110112510601
"T1",10371,110112591001
"T1",10371,110112610501
"T1",10371,110112610502
"T1",10371,110112610601
"T1",10371,110112620701
"T1",10371,110112640301
"T1",10371,110112650301
"T1",10371,110112660201
"T1",10371,110112661501
"T1",10371,110130010301
"T1",10371,110130011201
"T1",10371,110130020501
"T1",10371,110130030201
"T1",10371,110130031201
"T1",10371,110710020401
"T1",10371,110710020801
"T1",10371,110710030401
"T1",10371,110710070701
"T1",10371,110710080301
"T1",10371,110710101101
"T1",10371,110710110201
"T1",10371,110710130601
"T1",10371,110710140801
"T1",10371,110710141101
"T1",10371,110710150401
"T1",10371,110710151101
"T1",10371,110710160101
"T1",10371,110710161101
"T1",10371,110710161601
"T1",10371,110710162001
"T1",10371,110710180301
"T1",10371,110710180401
"T1",10371,110710180701
"T1",10371,110710200501
"T1",10371,110710210201
"T1",10371,110710210701
"T1",10371,110710220701
"T1",10371,110710221101
"T1",10371,110710260201
"T1",10371,110710260401
"T1",10371,110710260901
"T1",10371,110710261001
"T1",10371,110710270402
"T1",10371,110710290401
"T1",10371,110710310601
"T1",10371,110710310602
"T1",10371,110710330201
"T1",10371,110710330301
"T1",10371,110710340101
"T1",10371,110710340701
"T1",10371,110710340801
"T1",10371,110710341001
"T1",10371,110710370201
"T1",10371,110710380301
"T1",10371,110710380601
"T1",10371,110710390301
"T1",10371,110710410202
"T1",10371,110710430801
"T1",10371,110710440101
"T1",10371,110710460301
"T1",10371,110710460401
"T1",10371,110710470401
"T1",10371,110710480101
"T1",10371,110710500101
"T1",10371,110710500301
"T1",10371,110710510101
"T1",10371,110710510601
"T1",10371,110710550101
"T1",10371,110710570201
"T1",10371,110710581101
"T1",10371,110710650201
"T1",10371,110710670101
"T1",10371,110710671201
"T1",10371,110710700702
"T1",10371,110710700801
"T1",10371,110710701701
"T1",10371,110710720501
"T1",10371,110710740201
"T1",10371,110710751001
"T1",10371,110710751701
"T1",10371,110710780301
"T1",10371,110710800501
"T1",10371,110710800801
"T1",10371,110710810101
"T1",10371,110710810601
"T1",10371,110710811501
"T1",10371,110710820801
"T1",10371,110710830401
"T1",10371,110710840601
"T1",10371,110710840701
"T1",10371,110710870501
"T1",10371,110710900601
"T1",10371,110710910401
"T1",10371,110710930701
"T1",10371,110710940901
"T1",10371,110710941601
"T1",10371,110710951601
"T1",10371,110710960101
"T1",10371,110710961201
"T1",10371,110711010801
